Horizontal Location, Depth
0,-1.6894
200,-1.662
400,-1.6346
600,-1.6072
800,-1.5798
1000,-1.5524
1200,-1.5251
1400,-1.4977
1600,-1.4703
1800,-1.4429
2000,-1.4155
2200,-1.3881
2400,-1.3607
2600,-1.3333
2800,-1.3059
3000,-1.2786
3200,-1.2512
3400,-1.2238
3600,-1.1964
3800,-1.169
4000,-1.1416
4200,-1.1142
4400,-1.0868
4600,-1.0594
4800,-1.0321
5000,-1.0047
5200,-0.9773
5400,-0.9499
5600,-0.9225
5800,-0.8951
6000,-0.8677
6200,-0.8403
6400,-0.8129
6600,-0.7856
6800,-0.7582
7000,-0.7308
7200,-0.7034
7400,-0.6246
7600,-0.5457
7800,-0.4669
8000,-0.3881
8200,-0.3093
8400,-0.2305
8600,-0.1516
8800,-0.0728
9000,0.006
9200,0.0848
9400,0.1637
9600,0.2425
9800,0.3213
10000,0.4001
10200,0.479
10400,0.5578
10600,0.6366
10800,0.7154
11000,0.7942
11200,0.8731
11400,0.9519
11600,1.0307
11800,1.1095
12000,1.1884
12200,1.2672
12400,1.346
12600,1.4248
12800,1.5036
13000,1.5825
13200,1.6613
13400,1.7401
13600,1.8189
13800,1.8978
