Location,Depth
-140,70.06
-133.68,70.06
-133.09,70.64
-131.07,70.71
-130.1,70.36
-129.22,70.33
-129.22,70.03
-128.92,70.03
-128.92,70.33
-128.45,70.36
-125.82,72.28
-125.3,72.34
-121.02,72.4
-116.81,72.3
-116.71,72.48
-116.51,72.48
-114.31,72.46
-113.94,72.42
-112,71.16
-111.47,71.12
-111.47,70.82
-111.17,70.82
-111.17,71.12
-109.97,71.25
-108.77,71.93
-106.31,72.01
-105.8,71.79
-101.17,71.58
-99.81,70.29
-99.1,70.28
-98,71.23
-97.29,71.23
-97,70.86
-2.63,70.75
-2.18,71.24
0,71.749
0,71.63
2.88,72.15
11.46,72.31
22.21,72.24
33.13,72.14
44.49,72.07
55.55,72.58
62.03,71.83
65.48,67.25
69.33,64.815
69.33,64.56
72.45,63.06
74.5,62.55
77.5,62.35
82.5,62.25
87.5,62.55
90.5,62.65
92.13,63.06
96.2,64.85
100.8,65.39
106.2,64.91
109.47,62.9
115.8,62.46
124.2,62.44
132,62.41
139,62.48
147.2,62.55
156.7,62.34
164.6,62.31
171.3,62.08
174.5,61.81
179.5,61.71
184.5,61.51
189.5,61.61
194.5,61.81
197.4,62.14
200.7,62.41
202.75,62.93
204.4,63.2
207.58,64.34
213.58,68.39
214.6,68.672
214.6,68.59
215.47,68.56
216.51,68.24
219.86,68.21
221.36,69.14
222.16,69.21
224.71,69.04
226.03,68.16
288.5,68.13
289.66,69.1
290.19,69.14
290.61,68.87
311.78,68.89
312.37,69.27
312.92,69.22
313.37,69.14
313.46,68.84
313.76,68.84
313.85,69.14
314.06,69.14
315.02,69.58
318.71,69.75
323.85,72.93
325.16,73.212
325.16,72.95
325.34,73.02
326.33,76.05
328.01,76.28
328.26,76.28
328.26,72.58
332.46,72.58
332.46,76.28
332.71,76.28
333.5,76.16
334.87,73.99
336.37,74.05
340.26,74.08
342.93,74.21
347.09,73.6
356.87,73.62
366.82,73.61
