X	Y	Dz	Depth
0	-0.15	-0.04017	0.0742
0	-0.145	-0.04017	0.0742
0	-0.14	-0.04017	0.0742
0	-0.135	-0.03897	0.073
0	-0.13	-0.03727	0.0713
0	-0.125	-0.03537	0.0694
0	-0.12	-0.03297	0.067
0	-0.115	-0.03027	0.0643
0	-0.11	-0.02717	0.0612
0	-0.105	-0.02457	0.0586
0	-0.1	-0.02237	0.0541
0	-0.095	-0.02007	0.0518
0	-0.09	-0.01707	0.0488
0	-0.085	-0.01397	0.0457
0	-0.08	-0.01177	0.0435
0	-0.075	-0.00907	0.0408
0	-0.07	-0.00707	0.0388
0	-0.065	-0.00517	0.0369
0	-0.06	-0.00297	0.037
0	-0.055	-0.00037	0.0344
0	-0.05	0.00183	0.0322
0	-0.045	0.00363	0.0304
0	-0.04	0.00483	0.0292
0	-0.035	0.00573	0.0283
0	-0.03	0.00673	0.0273
0	-0.025	0.00733	0.0267
0	-0.02	0.00793	0.0253
0	-0.015	0.00823	0.025
0	-0.01	0.00883	0.0244
0	-0.005	0.00933	0.0239
0	0	0.00903	0.0242
0	0.005	0.00923	0.024
0	0.01	0.00963	0.0236
0	0.015	0.00983	0.0234
0	0.02	0.01023	0.0179
0	0.025	0.00943	0.0187
0	0.03	0.00833	0.0198
0	0.035	0.00823	0.0199
0	0.04	0.00843	0.0197
0	0.045	0.00893	0.0192
0	0.05	0.00913	0.019
0	0.055	0.00983	0.0183
0	0.06	0.00993	0.023
0	0.065	0.01053	0.0224
0	0.07	0.01283	0.0201
0	0.075	0.01443	0.0185
0	0.08	0.01523	0.0177
0	0.085	0.01613	0.0168
0	0.09	0.01613	0.0168
0	0.095	0.01643	0.0165
0	0.1	0.01703	0.0149
0	0.105	0.01803	0.0139
0	0.11	0.01893	0.013
0	0.115	0.01943	0.0125
0	0.12	0.02023	0.0117
0	0.125	0.02123	0.0107
0	0.13	0.02263	0.0093
0	0.135	0.02373	0.0082
0	0.14	0.02453	0.0062
0	0.145	0.02453	0.0062
0	0.15	0.02453	0.0062
0.207	-0.137	-0.04457	0.07859
0.206	-0.132	-0.04457	0.07859
0.205	-0.127	-0.04457	0.07859
0.205	-0.122	-0.04317	0.0772
0.204	-0.117	-0.04147	0.0755
0.204	-0.112	-0.03967	0.0737
0.203	-0.107	-0.03707	0.0711
0.202	-0.102	-0.03407	0.0681
0.202	-0.097	-0.03087	0.0649
0.201	-0.092	-0.02767	0.0617
0.2	-0.087	-0.02537	0.0571
0.2	-0.082	-0.02597	0.0577
0.199	-0.077	-0.02467	0.0564
0.199	-0.073	-0.02347	0.0552
0.198	-0.068	-0.02067	0.0524
0.197	-0.063	-0.02107	0.0528
0.197	-0.058	-0.02147	0.0532
0.196	-0.053	-0.02137	0.0531
0.195	-0.048	-0.01997	0.054
0.195	-0.043	-0.01697	0.051
0.194	-0.038	-0.01337	0.0474
0.194	-0.033	-0.00867	0.0427
0.193	-0.028	-0.00397	0.038
0.192	-0.023	-0.00017	0.0342
0.192	-0.018	0.00373	0.0303
0.191	-0.013	0.00793	0.0261
0.191	-0.008	0.01173	0.0215
0.19	-0.003	0.01443	0.0188
0.189	0.002	0.01513	0.0181
0.189	0.007	0.01533	0.0179
0.188	0.012	0.01533	0.0179
0.187	0.017	0.01583	0.0174
0.187	0.022	0.01633	0.0169
0.186	0.027	0.01693	0.0163
0.185	0.032	0.01703	0.0111
0.185	0.037	0.01743	0.0107
0.184	0.042	0.01763	0.0105
0.184	0.047	0.01743	0.0107
0.183	0.051	0.01773	0.0104
0.182	0.056	0.01803	0.0101
0.182	0.061	0.01833	0.0098
0.181	0.066	0.01923	0.0089
0.181	0.071	0.01983	0.0131
0.18	0.076	0.02003	0.0129
0.179	0.081	0.02043	0.0125
0.179	0.086	0.02093	0.012
0.178	0.091	0.02133	0.0116
0.177	0.096	0.02153	0.0114
0.177	0.101	0.02203	0.0109
0.176	0.106	0.02233	0.0106
0.176	0.111	0.02293	0.009
0.175	0.116	0.02343	0.0085
0.174	0.121	0.02403	0.0079
0.174	0.126	0.02443	0.0075
0.173	0.131	0.02483	0.0071
0.172	0.136	0.02533	0.0066
0.172	0.141	0.02583	0.0061
0.171	0.146	0.02653	0.0054
0.171	0.151	0.02663	0.0041
0.17	0.156	0.02663	0.0041
0.169	0.161	0.02663	0.0041
0.409	-0.099	-0.05107	0.08669
0.408	-0.095	-0.05107	0.08669
0.407	-0.09	-0.05107	0.08669
0.405	-0.085	-0.05027	0.08589
0.404	-0.08	-0.04957	0.08519
0.403	-0.075	-0.04797	0.08359
0.402	-0.07	-0.04607	0.08169
0.401	-0.065	-0.04357	0.0792
0.4	-0.061	-0.04107	0.0767
0.398	-0.056	-0.03807	0.0737
0.397	-0.051	-0.03467	0.0643
0.396	-0.046	-0.03127	0.0609
0.395	-0.041	-0.02707	0.0567
0.394	-0.036	-0.02367	0.0533
0.392	-0.031	-0.02247	0.0521
0.391	-0.027	-0.02017	0.0498
0.39	-0.022	-0.01737	0.047
0.389	-0.017	-0.01427	0.0439
0.387	-0.012	-0.01187	0.0446
0.386	-0.007	-0.01007	0.0428
0.385	-0.002	-0.00847	0.0412
0.384	0.003	-0.00667	0.0394
0.383	0.007	-0.00377	0.0365
0.382	0.012	-0.00117	0.0339
0.38	0.017	0.00163	0.0311
0.379	0.022	0.00443	0.0283
0.378	0.027	0.00573	0.0269
0.377	0.032	0.00793	0.0247
0.376	0.037	0.01183	0.0208
0.374	0.041	0.01603	0.0166
0.373	0.046	0.01973	0.0129
0.372	0.051	0.02093	0.0117
0.371	0.056	0.02143	0.0112
0.37	0.061	0.02173	0.0109
0.368	0.066	0.02253	0.0093
0.367	0.071	0.02263	0.0092
0.366	0.075	0.02273	0.0091
0.365	0.08	0.02293	0.0089
0.364	0.085	0.02313	0.0087
0.363	0.09	0.02383	0.008
0.361	0.095	0.02383	0.008
0.36	0.1	0.02423	0.0076
0.359	0.104	0.02423	0.0066
0.358	0.109	0.02443	0.0064
0.356	0.114	0.02463	0.0062
0.355	0.119	0.02513	0.0057
0.354	0.124	0.02543	0.0054
0.353	0.129	0.02603	0.0048
0.352	0.134	0.02653	0.0043
0.351	0.138	0.02683	0.004
0.349	0.143	0.02703	0.0047
0.348	0.148	0.02703	0.0047
0.347	0.153	0.02723	0.0045
0.346	0.158	0.02772	0.004
0.345	0.163	0.02822	0.0035
0.343	0.168	0.02843	0.0033
0.342	0.172	0.02843	0.0033
0.341	0.177	0.02843	0.0033
0.34	0.182	0.02803	0.003
0.339	0.187	0.02803	0.003
0.337	0.192	0.02803	0.003
0.604	-0.041	-0.04737	0.08299
0.602	-0.036	-0.04737	0.08299
0.601	-0.031	-0.04737	0.08299
0.599	-0.026	-0.04767	0.08329
0.597	-0.022	-0.04737	0.08299
0.596	-0.017	-0.04697	0.08259
0.594	-0.012	-0.04627	0.0819
0.592	-0.008	-0.04567	0.08129
0.59	-0.003	-0.04457	0.0802
0.589	0.002	-0.04287	0.0785
0.587	0.006	-0.04037	0.07
0.586	0.011	-0.03687	0.0665
0.584	0.016	-0.03367	0.0633
0.582	0.021	-0.03017	0.0598
0.581	0.025	-0.02767	0.0573
0.579	0.03	-0.02407	0.0537
0.577	0.035	-0.02007	0.0497
0.575	0.039	-0.01607	0.0457
0.574	0.044	-0.01267	0.0454
0.572	0.049	-0.00937	0.0421
0.57	0.054	-0.00547	0.0382
0.569	0.058	-0.00277	0.0355
0.567	0.063	-0.00227	0.035
0.565	0.068	-0.00367	0.0364
0.564	0.072	-0.00327	0.036
0.562	0.077	-0.00137	0.0341
0.56	0.082	0.00043	0.0322
0.559	0.086	0.00103	0.0316
0.557	0.091	0.00243	0.0302
0.555	0.096	0.00523	0.0274
0.554	0.101	0.00823	0.0244
0.552	0.105	0.01013	0.0225
0.55	0.11	0.01153	0.0211
0.549	0.115	0.01233	0.0203
0.547	0.12	0.01193	0.0199
0.545	0.124	0.01223	0.0196
0.544	0.129	0.01393	0.0179
0.542	0.134	0.01633	0.0155
0.54	0.138	0.01563	0.0162
0.539	0.143	0.01743	0.0144
0.537	0.148	0.02103	0.0108
0.535	0.152	0.02333	0.0085
0.534	0.157	0.02473	0.0061
0.532	0.162	0.02603	0.0048
0.53	0.167	0.02703	0.0038
0.528	0.171	0.02772	0.0031
0.527	0.176	0.02843	0.0024
0.525	0.181	0.02862	0.0022
0.523	0.185	0.02883	0.002
0.522	0.19	0.02902	0.0018
0.52	0.195	0.02873	0.003
0.518	0.2	0.02883	0.0029
0.517	0.204	0.02883	0.0029
0.515	0.209	0.02883	0.0029
0.513	0.214	0.02883	0.0029
0.512	0.218	0.02862	0.0031
0.51	0.223	0.02803	0.0037
0.508	0.228	0.02763	0.0041
0.507	0.232	0.02623	0.0048
0.505	0.237	0.02623	0.0048
0.503	0.242	0.02623	0.0048
0.79	0.034	-0.05347	0.09029
0.788	0.039	-0.05347	0.09029
0.786	0.044	-0.05347	0.09029
0.784	0.048	-0.05187	0.08869
0.782	0.053	-0.05037	0.08719
0.78	0.057	-0.04887	0.08569
0.777	0.062	-0.04657	0.08339
0.775	0.066	-0.04487	0.0817
0.773	0.071	-0.04327	0.0801
0.771	0.076	-0.04177	0.0786
0.769	0.08	-0.04057	0.0772
0.767	0.085	-0.03947	0.0761
0.765	0.089	-0.03937	0.076
0.763	0.094	-0.04007	0.0767
0.761	0.098	-0.03977	0.0764
0.759	0.103	-0.03817	0.0748
0.757	0.107	-0.03507	0.0717
0.755	0.112	-0.03037	0.067
0.753	0.116	-0.02677	0.0622
0.751	0.121	-0.02317	0.0586
0.749	0.126	-0.02087	0.0563
0.747	0.13	-0.02107	0.0565
0.745	0.135	-0.02117	0.0566
0.743	0.139	-0.02027	0.0557
0.741	0.144	-0.01867	0.0541
0.738	0.149	-0.01597	0.0514
0.737	0.153	-0.01267	0.0483
0.734	0.158	-0.00877	0.0444
0.732	0.162	-0.00487	0.0405
0.73	0.167	-0.00267	0.0383
0.728	0.171	-0.00197	0.0376
0.726	0.176	-0.00067	0.0363
0.724	0.18	0.00153	0.0341
0.722	0.185	0.00353	0.0321
0.72	0.19	0.00513	0.0283
0.718	0.194	0.00633	0.0271
0.716	0.199	0.00693	0.0265
0.714	0.203	0.00703	0.0264
0.712	0.208	0.00713	0.0263
0.71	0.212	0.00793	0.0255
0.708	0.217	0.01033	0.0231
0.706	0.221	0.01323	0.0202
0.704	0.226	0.01363	0.0204
0.702	0.231	0.01473	0.0193
0.7	0.235	0.01553	0.0185
0.698	0.24	0.01663	0.0174
0.696	0.244	0.01803	0.016
0.693	0.249	0.01873	0.0153
0.691	0.253	0.01953	0.0145
0.689	0.258	0.01813	0.0159
0.687	0.262	0.01513	0.0172
0.685	0.267	0.01383	0.0185
0.683	0.272	0.01283	0.0195
0.681	0.276	0.01313	0.0192
0.679	0.281	0.01263	0.0197
0.677	0.285	0.01213	0.0202
0.675	0.29	0.01053	0.0218
0.673	0.294	0.00763	0.0247
0.671	0.299	0.00603	0.0267
0.669	0.304	0.00603	0.0267
0.667	0.308	0.00603	0.0267
0.967	0.12	-0.01877	0.0556
0.964	0.125	-0.01877	0.0556
0.962	0.129	-0.01877	0.0556
0.96	0.133	-0.02027	0.0571
0.957	0.138	-0.02207	0.0589
0.955	0.142	-0.02357	0.0604
0.953	0.147	-0.02447	0.0613
0.951	0.151	-0.02517	0.062
0.948	0.156	-0.02567	0.0625
0.946	0.16	-0.02607	0.0629
0.944	0.165	-0.02627	0.0629
0.941	0.169	-0.02547	0.0621
0.939	0.173	-0.02497	0.0616
0.937	0.178	-0.02447	0.0611
0.934	0.182	-0.02377	0.0604
0.932	0.187	-0.02277	0.0594
0.93	0.191	-0.02197	0.0586
