iRIC output t = 7400
71,25
I,J,X,Y,Depth(m),Elevation(m),WaterSurfaceElevation(m),ShearStress(Nm-2),ElevationChange(m),FixedBedElevation(m),Vorticity(s-1),FroudeNumber,ShieldsNumber,CrossSectionalMinBedElev(m),CrossSectionalAveBedElev(m),CrossSectionalAveWaterLevel(m),SuspendedSedimentConcentration,Velocity(ms-1)X,Velocity(ms-1)Y,Velocity(ms-1) (magnitude),BedloadFlux(m2s-1)X,BedloadFlux(m2s-1)Y,BedloadFlux(m2s-1) (magnitude)
1,1,-51914.1523438,-94091.5546875,0.00530530223109,10.6372689042,10.6425742064,0,0,10.6372689042,0,0,0,-2.029756875,3.85167293937,2.34404838989,0,0,0,0,0,0,0
2,1,-51921.875,-94165.1015625,0.00530530223109,10.6492763528,10.654581655,0,0,10.6492763528,0,0,0,-1.98764992322,3.95400311547,2.31702235626,0,0,0,0,0,0,0
3,1,-51930.2148438,-94238.59375,0.00530530223109,10.67329125,10.6785965523,0,0,10.67329125,0,0,0,-1.9028333554,4.15892380007,2.13678081367,0,0,0,0,0,0,0
4,1,-51939.8007812,-94311.984375,0.00530530223109,10.6973061473,10.7026114495,0,0,10.6973061473,0,0,0,-1.8279045253,4.3639388392,2.18323451982,0,0,0,0,0,0,0
5,1,-51951.2460938,-94385.2109375,0.00530530223109,10.7068769743,10.7121822766,0,0,10.7068769743,0,0,0,-1.84924307415,4.57144503559,2.22534387916,0,0,0,0,0,0,0
6,1,-51967.6796875,-94470.125,0.00530530223109,10.687559661,10.6928649632,0,0,10.687559661,0,0,0,-1.84720197988,4.78435864862,2.29946694834,0,0,0,0,0,0,0
7,1,-51988.0429688,-94554.1796875,0.00530530223109,10.6537982774,10.6591035796,0,0,10.6537982774,0,0,0,-2.02569113965,4.99997213182,2.25794224779,0,0,0,0,0,0,0
8,1,-52012.9023438,-94636.8125,0.00530530223109,10.6200368938,10.625342196,0,0,10.6200368938,0,0,0,-2.21124234124,5.2154085949,2.33363515537,0,0,0,0,0,0,0
9,1,-52042.8203125,-94717.453125,0.00530530223109,10.5580110447,10.5633163469,0,0,10.5580110447,0,0,0,-2.36021222477,5.34722625913,2.14896164074,0,0,0,0,0,0,0
10,1,-52083.6757812,-94807.234375,0.00530530223109,10.4394562645,10.4447615667,0,0,10.4394562645,0,0,0,-2.43620056449,5.3121095262,2.10306989873,0,0,0,0,0,0,0
11,1,-52129.796875,-94894.6953125,0.00530530223109,10.2926370187,10.297942321,0,0,10.2926370187,0,0,0,-2.47583340286,5.19351789153,2.01527805529,0,0,0,0,0,0,0
12,1,-52179.0234375,-94980.875,0.00530530223109,10.145817773,10.1511230752,0,0,10.145817773,0,0,0,-2.60043668301,5.07487560116,1.92671882581,0,0,0,0,0,0,0
13,1,-52229.1992188,-95066.84375,0.00530530223109,10.0223534307,10.027658733,0,0,10.0223534307,0,0,0,-3.07214878496,4.91149398821,2.15265370072,0,0,0,0,0,0,0
14,1,-52296.1210938,-95183.5703125,0.00530530223109,9.94559889543,9.95090419767,0,0,9.94559889543,0,0,0,-3.26975226683,4.65873727952,2.20974222072,0,0,0,0,0,0,0
15,1,-52364.4375,-95299.1171875,0.00530530223109,9.89219926362,9.89750456585,0,0,9.89219926362,0,0,0,-3.32996356827,4.36134382421,2.07259435184,0,0,0,0,0,0,0
16,1,-52437.7539062,-95410.7734375,0.00530530223109,9.83879963181,9.84410493404,0,0,9.83879963181,0,0,0,-3.39005934243,4.06385704584,1.99797523942,0,0,0,0,0,0,0
17,1,-52519.671875,-95515.84375,0.00530530223109,9.78118517572,9.78649047795,0,0,9.78118517572,0,0,0,-3.41515488764,3.81233114174,1.93804550406,0,0,0,0,0,0,0
18,1,-52553.234375,-95552.9453125,0.00530530223109,9.7151410712,9.72044637343,0,0,9.7151410712,0,0,0,-3.36925446444,3.6529756476,2.08408083916,0,0,0,0,0,0,0
19,1,-52588.3867188,-95588.65625,0.00530530223109,9.64488214265,9.65018744488,0,0,9.64488214265,0,0,0,-3.28788813532,3.53971688218,2.06772539137,0,0,0,0,0,0,0
20,1,-52625.0117188,-95622.9140625,0.00530530223109,9.5746232142,9.57992851643,0,0,9.5746232142,0,0,0,-3.21422711479,3.42649418808,1.86576757227,0,0,0,0,0,0,0
21,1,-52662.9882812,-95655.625,0.00530530223109,9.52112436222,9.52642966446,0,0,9.52112436222,0,0,0,-3.42563412576,3.30019528992,1.84994461258,0,0,0,0,0,0,0
22,1,-52737.4257812,-95713.125,0.00530530223109,9.50114566326,9.50645096549,0,0,9.50114566326,0,0,0,-4.03335923084,3.14761671593,1.83573522306,0,0,0,0,0,0,0
23,1,-52814.4140625,-95767.2421875,0.00530530223109,9.49792704082,9.50323234305,0,0,9.49792704082,0,0,0,-4.83904328849,2.98180410274,1.82645509644,0,0,0,0,0,0,0
24,1,-52892.15625,-95820.3203125,0.00530530223109,9.49470841837,9.5000137206,0,0,9.49470841837,0,0,0,-5.6443144003,2.81598917898,1.81101663451,0,0,0,0,0,0,0
25,1,-52968.8515625,-95874.6953125,0.00530530223109,9.52126559665,9.52657089888,0,0,9.52126559665,0,0,0,-6.09293926103,2.69309447357,1.78604774257,0,0,0,0,0,0,0
26,1,-53051.40625,-95938.8515625,0.00530530223109,9.60737437642,9.61267967865,0,0,9.60737437642,0,0,0,-5.82791856143,2.65622452096,1.74858202658,0,0,0,0,0,0,0
27,1,-53131.5703125,-96006.1015625,0.00530530223109,9.72325895692,9.72856425915,0,0,9.72325895692,0,0,0,-5.20417467556,2.66295180853,1.71517332087,0,0,0,0,0,0,0
28,1,-53210.46875,-96075.0390625,0.00530530223109,9.83914353742,9.84444883965,0,0,9.83914353742,0,0,0,-4.57856739888,2.67008528075,1.71782849046,0,0,0,0,0,0,0
29,1,-53289.2382812,-96144.234375,0.00530530223109,9.95502811792,9.96033342015,0,0,9.95502811792,0,0,0,-4.65700253054,2.67668584631,1.74466210761,0,0,0,0,0,0,0
30,1,-53369.0078125,-96212.2734375,0.00530530223109,10.0987571661,10.1040624683,0,0,10.0987571661,0,0,0,-4.7535491218,2.81651973222,1.77853430331,0,0,0,0,0,0,0
31,1,-53459.4335938,-96284.96875,0.00530530223109,10.2981751495,10.3034804518,0,0,10.2981751495,0,0,0,-4.4513926263,3.22417448489,1.81985769966,0,0,0,0,0,0,0
32,1,-53551.6796875,-96355.3046875,0.00530530223109,10.5254376006,10.5307429029,0,0,10.5254376006,0,0,0,-4.36354250758,3.76584393898,1.95237678552,0,0,0,0,0,0,0
33,1,-53644.9609375,-96424.1015625,0.00530530223109,10.7527000518,10.758005354,0,0,10.7527000518,0,0,0,-4.27576621378,4.3074769729,1.81797778276,0,0,0,0,0,0,0
34,1,-53738.4804688,-96492.1484375,0.00530530223109,10.8586561087,10.8639614109,0,0,10.8586561087,0,0,0,-4.12441180887,4.58586761349,1.81276329547,0,0,0,0,0,0,0
35,1,-53830.296875,-96559.109375,0.00530530223109,10.7219993772,10.7273046794,0,0,10.7219993772,0,0,0,-3.84720984567,4.33765835633,1.84428980782,0,0,0,0,0,0,0
36,1,-53922.1523438,-96626.09375,0.00530530223109,10.4640362514,10.4693415537,0,0,10.4640362514,0,0,0,-3.50564380926,3.82617157509,1.64981540018,0,0,0,0,0,0,0
37,1,-54014.6132812,-96693.0703125,0.00530530223109,10.2060731257,10.2113784279,0,0,10.2060731257,0,0,0,-3.16197199046,3.3150047694,1.71433458326,0,0,0,0,0,0,0
38,1,-54108.2539062,-96760.0234375,0.00530530223109,10.0398100671,10.0451153694,0,0,10.0398100671,0,0,0,-3.10624973832,3.01496199146,1.61475341476,0,0,0,0,0,0,0
39,1,-54200.4101562,-96823.8515625,0.00530530223109,10.0569471429,10.0622524451,0,0,10.0569471429,0,0,0,-2.90592008567,3.13647135353,1.60474582082,0,0,0,0,0,0,0
40,1,-54295.1835938,-96883.0234375,0.00530530223109,10.1657842857,10.1710895879,0,0,10.1657842857,0,0,0,-2.24734430569,3.46868628832,1.59860651991,0,0,0,0,0,0,0
41,1,-54393.5585938,-96932.9296875,0.00530530223109,10.2746214286,10.2799267308,0,0,10.2746214286,0,0,0,-1.70595717498,3.80107963174,1.4020149799,0,0,0,0,0,0,0
42,1,-54496.5234375,-96968.9765625,0.00530530223109,10.3186120714,10.3239173737,0,0,10.3186120714,0,0,0,-1.73067890911,4.12367392368,1.39635797021,0,0,0,0,0,0,0
43,1,-54619.1601562,-96990.5390625,0.00530530223109,10.2329097143,10.2382150165,0,0,10.2329097143,0,0,0,-1.70042603603,4.4263287306,1.38617015216,0,0,0,0,0,0,0
